步骤,日期,月份,真实TQI,预测
1,01-02,1,2.4,2.153333333333194
2,01-09,1,2.4,2.153333333333194
3,01-18,1,2.4,2.153333333333194
4,01-25,1,2.6,2.153333333333194
5,02-04,2,2.3,2.153333333333194
6,02-20,2,2.1500000000000004,2.153333333333194
7,02-25,2,2.4,2.153333333333194
8,03-10,3,2.4,2.153333333333194
9,03-18,3,2.0,2.153333333333194
10,03-25,3,2.2,2.153333333333194
11,04-10,4,2.0,2.153333333333194
12,04-18,4,2.0,2.153333333333194
13,04-25,4,2.0,2.153333333333194
14,05-10,5,2.1,2.153333333333194
15,05-20,5,2.0,2.153333333333194
16,06-07,6,2.0,2.153333333333194
17,06-20,6,2.1,2.153333333333194
18,07-07,7,2.2,2.153333333333194
19,07-20,7,2.2,2.153333333333194
20,08-07,8,2.4,2.153333333333194
21,08-20,8,2.1,2.153333333333194
22,09-05,9,2.2,2.153333333333194
23,09-19,9,2.2,2.153333333333194
24,10-09,10,2.4,2.153333333333194
25,10-23,10,2.2,2.153333333333194
26,11-09,11,2.5,2.153333333333194
27,11-17,11,2.0,2.153333333333194
28,11-24,11,2.5,2.153333333333194
29,12-03,12,2.2,2.153333333333194
30,12-10,12,2.4,2.153333333333194
31,12-18,12,2.3,2.153333333333194
32,12-25,12,2.6,2.153333333333194
33,01-11,1,2.4,2.153333333333194
34,01-22,1,2.35,2.153333333333194
35,02-02,2,2.2,2.153333333333194
36,02-09,2,2.4,2.153333333333194
37,02-23,2,2.2,2.153333333333194
38,03-03,3,2.2,2.153333333333194
39,03-10,3,2.6,2.153333333333194
40,03-18,3,2.1,2.153333333333194
41,04-03,4,2.2,2.153333333333194
42,04-10,4,2.2,2.153333333333194
43,04-25,4,2.0,2.153333333333194
44,05-06,5,2.0,2.153333333333194
45,06-05,6,2.1,2.153333333333194
46,06-20,6,1.9,2.153333333333194
47,07-06,7,1.9,2.153333333333194
48,07-19,7,1.9,2.153333333333194
49,08-04,8,2.0,2.153333333333194
50,08-20,8,2.0,2.153333333333194
51,09-04,9,2.1,2.153333333333194
52,09-20,9,2.0,2.153333333333194
53,10-10,10,2.0,2.153333333333194
54,10-23,10,2.2,2.153333333333194
55,11-03,11,2.2,2.153333333333194
56,11-10,11,2.1,2.153333333333194
57,11-18,11,2.0,2.153333333333194
58,11-25,11,2.1,2.153333333333194
59,12-03,12,1.9,2.153333333333194
60,12-10,12,2.2,2.153333333333194
61,12-27,12,2.0,2.153333333333194
62,01-09,1,2.1500000000000004,2.153333333333194
63,01-18,1,2.0,2.153333333333194
64,01-26,1,2.2,2.153333333333194
65,02-02,2,2.3,2.153333333333194
66,02-26,2,2.3,2.153333333333194
67,03-05,3,2.0,2.153333333333194
68,03-19,3,1.9,2.153333333333194
