步骤,日期,月份,真实TQI,预测,周期类型
1,2025-01-15,1,4.7208675,3.8075142166666662,
2,2025-01-26,1,4.4678155,3.8075142166666662,
3,2025-02-06,2,4.779673,3.8075142166666662,
4,2025-02-13,2,4.996342,3.8075142166666662,
5,2025-02-27,2,4.619349,3.8075142166666662,
6,2025-03-07,3,5.217111,3.8075142166666662,
7,2025-03-14,3,4.804543,3.8075142166666662,
8,2025-03-22,3,3.937635,3.8075142166666662,
9,2025-03-29,3,3.579976,3.8075142166666662,
10,2025-04-07,4,3.660337,3.8075142166666662,
11,2025-04-14,4,3.659418,3.8075142166666662,
12,2025-04-22,4,3.748875,3.8075142166666662,
13,2025-04-29,4,3.79886,3.8075142166666662,
14,2025-05-10,5,3.818365,3.8075142166666662,
15,2025-05-24,5,3.949797,3.8075142166666662,
16,2025-06-09,6,3.768124,3.8075142166666662,
17,2025-06-24,6,3.899082,3.8075142166666662,
18,2025-07-10,7,3.874556,3.8075142166666662,大修窗口
19,2025-07-23,7,3.917068,3.8075142166666662,大修窗口
20,2025-08-08,8,3.974792,3.8075142166666662,大修窗口
21,2025-08-24,8,4.000105,3.8075142166666662,大修窗口
22,2025-09-08,9,3.986056,3.8075142166666662,大修窗口
23,2025-09-24,9,3.981417,3.8075142166666662,大修窗口
24,2025-10-14,10,4.003565,3.8075142166666662,
25,2025-10-27,10,3.973684,3.8075142166666662,
26,2025-11-07,11,3.391862,3.8075142166666662,
27,2025-11-22,11,3.380654,3.8075142166666662,
28,2025-12-07,12,4.442278,3.8075142166666662,
29,2025-12-14,12,3.679881,3.8075142166666662,
