tqi_mile,historical_mean_mae,ma_mae,timemixer_mae,trident_v1_mae,trident_v21_mae
705400,1.7307797701149434,0.9592666666666662,4.05913938106852,0.7398631823260896,0.4525415887566
708400,0.6271018589253858,1.6125584415584424,1.3235216676318609,1.731684141437887,1.6085577180148494
709400,1.1450020371785148,1.4234502164502145,2.5752720832354057,1.666300551200975,1.2661299229925798
711400,1.0777597314477532,1.216940170940171,1.2271912760986265,1.4604414725504113,0.8855882390990013
712400,0.5908532247696592,0.240854700854701,0.21993660227464445,0.21614986823528612,0.33995797435739794
713400,0.6281481322762662,0.24169230769230785,0.25475430437710894,0.28011746190695136,0.24050858085101154
714400,1.570148763665716,1.8623549783549793,1.6508507882682588,1.760866483703601,1.602386036241117
715400,0.7968199643493771,1.0509740259740266,0.9400380258417506,1.2134101035914509,0.6978650133719242
716400,1.299225198200128,1.6725641025641016,1.7680087558355062,1.8706221396925236,1.5151788856284785
717400,1.0528020141418424,1.3069487179487174,1.27287008354151,1.4241013713941173,1.1570019695354417
718400,1.3968539390043562,1.8538205128205119,2.060589829004601,2.1618146506831843,1.6571383839448612
719400,0.8592844796800231,1.1689743589743598,1.1260116412072345,1.3411698528705374,0.9577326165606631
721400,1.9382735616338984,2.2329653679653685,1.8727154469417833,2.3240725034973337,2.0861478926192087
722400,1.3968370830654933,1.2642307692307706,1.8892986114881556,1.4185200166594556,1.4470753321774887
723400,1.1145416755946003,1.3936410256410252,1.5253825134727688,1.5585721435945679,1.2596124204194747
724400,1.042054878269363,1.327229437229438,1.173433604442469,1.5043548222887464,1.2109380594474188
725400,0.9224309692164848,1.308589743589743,1.4073640288556548,1.4898056617890032,1.0817751049935047
726400,0.30774253879825086,0.6964285714285715,0.4729799237090291,0.8023187403862709,0.6049327750475136
727400,0.6331494410881605,1.2114155844155845,1.1033302291349256,1.3250805153375178,0.9865175452244342
728400,1.4598478819230878,1.8014978354978362,0.8174794857947355,1.881404933262883,1.6099097808928287
729400,0.7868957217341617,1.2018205128205122,1.202529697300772,1.3502625803675155,0.9974560907290847
730400,0.7948408119658118,1.1338888888888892,1.0460979014591112,1.233290913885064,1.0089832689800113
731400,1.328774572649572,1.7344700854700852,1.71882801012676,1.7672097663703175,1.563827147755041
732400,1.09834985348913,1.299883116883117,1.0936223748145564,1.4012389842059692,1.4564205419446974
733400,0.3411488465109655,1.458128205128205,0.23844921664940832,0.32349958427988074,0.23132255702067042
734400,0.25048496906992734,2.552502164502164,0.31641191970392785,0.40294802446056005,0.2097549167958647
735400,0.6780084993929014,1.146974358974359,1.0599136665570075,1.2101168516745044,1.0177887863557247
736400,1.4705053418803442,2.335769230769231,1.6807067191120666,1.830540543486066,0.8245059996703182
737400,1.0248965099715097,1.287435897435897,1.331630842361156,1.3612295653006654,1.4575252108366994
738400,0.5513410256410266,1.1590256410256412,1.213309592504612,1.3469333285711151,0.8888714849398779
739400,0.41170747863247653,0.8203846153846144,0.8972609104566117,0.9558498258537929,0.7612993145856367
740400,0.4846109563602599,0.6544871794871795,0.7293517651018698,0.7726225242097141,1.026931346204665
741400,1.3923813261946985,1.8607489177489178,1.517511882172564,1.8192005845463683,1.5789322240086092
742400,1.4088350504244336,1.7584545454545453,1.3713061405392397,1.592186546485345,1.202936873745391
743400,1.213241096866093,1.509589743589744,1.4606719324819557,1.5237525891887838,1.5929480402365666
744400,0.8030297008547004,1.3274102564102568,1.2210251836970953,1.3013771770618323,1.0862482302934167
745400,0.25300144702094546,0.5850259740259739,0.24328474108021694,0.4796851864256229,0.604916256005222
746400,0.45610642839055,0.7569826839826851,0.7420247266771797,0.6885390869266406,1.4915376498679291
747400,0.88010798393807,2.317207792207791,1.272500481437743,1.1711522652938113,5.4261207637145
748400,0.9693963675213652,2.661410256410256,0.9652232880733527,1.1730307119280294,5.153272227002355
749400,0.8225663817663829,1.1838803418803414,0.9956582796733893,1.1532767424379622,0.9205845992806241
750400,0.9751736467236455,1.0741196581196577,1.1313238448465255,1.2428609396322647,0.28767834130183245
751400,1.077381054131057,1.3102393162393158,1.3563997020904037,1.3918666228568686,0.7651176118893283
752400,1.1950395299145307,1.2770256410256404,1.4506242332678645,1.5760395330112724,0.43946628852920644
753400,1.1286230769230783,1.4317948717948725,1.3606377706680666,1.5299148583904,1.1195244123635224
754400,1.3189433611884869,1.4699999999999998,1.6933794119885857,1.6873069717314495,1.6435346144573761
755400,0.7063256410256409,0.8485982905982902,1.221504282242216,1.191486814644104,0.6038873380724663
758400,1.0320334623593712,2.665584415584416,1.600215535667732,1.272438347331075,1.143677975163998
759400,1.33336111111111,1.643,1.7712831115585237,1.8360872149956242,0.9071775521890909
760400,1.2402241452991454,1.6630769230769238,1.5903613042013287,1.7068722389420277,1.1661495996129438
