mile,MAE,MSE,RMSE,MAPE,Std
1184400,0.11732898009950252,0.026002125264180827,0.16125174499576997,4.809040469374154,0.1536226249394754
1235400,0.13696969696969713,0.051022181818181855,0.22588090184471518,4.560567956701923,0.22397609081372588
1191400,0.14524509803921573,0.037596895424836595,0.19389918881943935,6.9351864121036195,0.19067808339683215
1213400,0.14957983193277297,0.050739855942376906,0.22525509082455142,7.188286217866794,0.22287054600556036
1188400,0.15186274509803924,0.04627336601307191,0.21511244969334506,7.596765842625157,0.1773995158823555
709400,0.15782352941176458,0.07206282352941171,0.26844519651022203,5.623427187246947,0.24563226093584847
1209400,0.1631372549019609,0.053834640522875836,0.2320229310281116,7.491792665710893,0.22191269052159426
1144400,0.17210273618998428,0.05113450719475555,0.22612940364922812,4.148420557019902,0.21770182093918436
739400,0.18700000000000006,0.10356305882352944,0.32181214834671706,7.55395432965764,0.32158170406219205
755400,0.22226865671641793,0.07429898507462687,0.2725784017023852,10.126196780469229,0.27091916347645784
