Method,Count,MAE_Mean,MAE_Median,MAE_Std,MAE_Min,MAE_Max,MAE_Q25,MAE_Q75,RMSE_Mean,MAPE_Mean
Trident_v21,72,0.37574088626436797,0.3286119402985076,0.2029585465478139,0.11732898009950252,1.394954939668175,0.2466417910447761,0.4275246099500217,0.4544379979263147,15.749770583455918
Trident_v23_full,72,0.43234951465522486,0.3410761595168149,0.2900348351968855,0.14500681525286443,1.7717547744324216,0.2494106511661482,0.5051766836775692,0.5067793151057446,17.89267136351397
Trident_v23_no_seasonal,72,0.4480036163097474,0.35772526025335505,0.28684476804640335,0.11732898009950252,1.7814558823529405,0.28938592922484335,0.5105783582089549,0.5250401316139568,18.627814959834005
MLP,72,0.4626896680245289,0.3671719131955353,0.30710039221951835,0.12281380213857042,1.9669100046596524,0.30126224508878086,0.5015067525935751,0.5471657990829966,19.320775217192654
Holt_Winters,72,0.5181636295701985,0.4611242741277536,0.2759910813812845,0.11732898009950252,1.394954939668175,0.3061198002063781,0.6230767507002799,0.5881600926320493,22.26129724432979
Historical_Mean,72,0.5181636295701985,0.4611242741277536,0.2759910813812845,0.11732898009950252,1.394954939668175,0.3061198002063781,0.6230767507002799,0.5881600926320493,22.26129724432979
LSTM,72,0.5324778103646377,0.47211055353305115,0.27840415247108596,0.14467955016378156,1.5125380115338112,0.31387386444566856,0.722096000587396,0.602916380836996,22.80183803356921
TimeMixer,72,0.5742271240983015,0.4164417963157613,0.3842571111865533,0.14247526902899948,1.7550536415293763,0.28742189279307,0.8408705555699681,0.6414556172291752,23.438359703807137
Moving_Average,72,0.589674351698267,0.47454675153643555,0.38173798284830945,0.124705882352941,1.753627450980392,0.3097978855721394,0.853725124378109,0.6577509655891705,24.222004980296457
