Method,Count,MAE_Mean,MAE_Median,MAE_Std,MAE_Min,MAE_Max,MAE_Q25,MAE_Q75
Trident_v21,72,0.37574088626436797,0.3286119402985076,0.2029585465478139,0.11732898009950252,1.394954939668175,0.2466417910447761,0.4275246099500217
Trident_v23_no_seasonal,72,0.4480036163097474,0.35772526025335505,0.28684476804640335,0.11732898009950252,1.7814558823529405,0.28938592922484335,0.5105783582089549
Historical_Mean,72,0.5181636295701985,0.4611242741277536,0.2759910813812845,0.11732898009950252,1.394954939668175,0.3061198002063781,0.6230767507002799
Moving_Average,72,0.589674351698267,0.47454675153643555,0.38173798284830945,0.124705882352941,1.753627450980392,0.3097978855721394,0.853725124378109
